Package,Name,Version
Access control,Menu Per Role (menu_per_role),7.x-1.0
Administration,Administration menu (admin_menu),7.x-3.0-rc6
Administration,Administration menu Toolbar style (admin_menu_toolbar),7.x-3.0-rc6
Administration,Administration Views (admin_views),7.x-1.8
Administration,Module filter (module_filter),7.x-2.2
Authentication,User registration password (user_registrationpassword),7.x-1.5
Chaos tool suite,Chaos tools (ctools),7.x-1.19
Chaos tool suite,Custom content panes (ctools_custom_content),7.x-1.19
Chaos tool suite,Custom rulesets (ctools_access_ruleset),7.x-1.19
Chaos tool suite,Page manager (page_manager),7.x-1.19
Chaos tool suite,Views content panes (views_content),7.x-1.19
Context,Context (context),7.x-3.10
Context,Context layouts (context_layouts),7.x-3.10
Context,Context UI (context_ui),7.x-3.10
Core,Block (block),7.84
Core,Comment (comment),7.84
Core,Content translation (translation),7.84
Core,Contextual links (contextual),7.84
Core,Dashboard (dashboard),7.84
Core,Database logging (dblog),7.84
Core,Field (field),7.84
Core,Field SQL storage (field_sql_storage),7.84
Core,Field UI (field_ui),7.84
Core,File (file),7.84
Core,Filter (filter),7.84
Core,Help (help),7.84
Core,Image (image),7.84
Core,List (list),7.84
Core,Locale (locale),7.84
Core,Menu (menu),7.84
Core,Node (node),7.84
Core,Number (number),7.84
Core,Options (options),7.84
Core,Path (path),7.84
Core,PHP filter (php),7.84
Core,RDF (rdf),7.84
Core,Search (search),7.84
Core,Shortcut (shortcut),7.84
Core,Statistics (statistics),7.84
Core,System (system),7.84
Core,Taxonomy (taxonomy),7.84
Core,Text (text),7.84
Core,Update manager (update),7.84
Core,User (user),7.84
Date/Time,Date (date),7.x-2.12
Date/Time,Date API (date_api),7.x-2.12
Date/Time,Date Popup (date_popup),7.x-2.12
Date/Time,Date Tools (date_tools),7.x-2.12
Date/Time,Date Views (date_views),7.x-2.12
Features,Activity Content (activity_content)
Features,Announcement Feature (announcement_feature)
Features,Features (features),7.x-2.13
Features,Rules Config (rules_config)
Features,Search Config (search_config)
Features,TBA Layouts (tba_layouts)
Features,Text Formats (text_formats)
Fields,Entity Reference (entityreference),7.x-1.5
Fields,Entity reference prepopulate (entityreference_prepopulate),7.x-1.7
Fields,Field Group (field_group),7.x-1.6
Fields,Field Permissions (field_permissions),7.x-1.1
Fields,Link (link),7.x-1.9
Flags,Flag (flag),7.x-3.9
Flags,Flag actions (flag_actions),7.x-3.9
Media,Colorbox (colorbox),7.x-2.15
Media,File Entity (file_entity),7.x-2.35
Media,Media (media),7.x-2.27
Media,Media WYSIWYG (media_wysiwyg),7.x-2.27
Multilanguage,Translation helpers (translation_helpers),7.x-1.0
Multilingual,Localization update (l10n_update),7.x-2.6
Multilingual - Internationalization,Block languages (i18n_block),7.x-1.31
Multilingual - Internationalization,Field translation (i18n_field),7.x-1.31
Multilingual - Internationalization,Internationalization (i18n),7.x-1.31
Multilingual - Internationalization,Menu translation (i18n_menu),7.x-1.31
Multilingual - Internationalization,Multilingual content (i18n_node),7.x-1.31
Multilingual - Internationalization,Path translation (i18n_path),7.x-1.31
Multilingual - Internationalization,String translation (i18n_string),7.x-1.31
Multilingual - Internationalization,Taxonomy translation (i18n_taxonomy),7.x-1.31
Multilingual - Internationalization,Translation redirect (i18n_redirect),7.x-1.31
Multilingual - Internationalization,Translation sets (i18n_translation),7.x-1.31
Multilingual - Internationalization,User mail translation (i18n_user),7.x-1.31
Multilingual - Internationalization,Variable translation (i18n_variable),7.x-1.31
Multilingual - Internationalization,Views translation (i18nviews),7.x-3.0-alpha1
OAuth,OAuth (oauth_common),7.x-3.4
Other,Block Class (block_class),7.x-2.4
Other,Conditional Stylesheets (conditional_styles),7.x-2.2
Other,Diff (diff),7.x-3.4
Other,Download Count (download_count),7.x-3.2
Other,Entity API (entity),7.x-1.10
Other,Entity tokens (entity_token),7.x-1.10
Other,Form block (formblock),7.x-1.0-alpha1
Other,Image Block (imageblock),7.x-1.3
Other,Libraries (libraries),7.x-2.5
Other,Menu attributes (menu_attributes),7.x-1.1
Other,Menu position (menu_position),7.x-1.2
Other,Module Object Oriented Programming API (moopapi),7.x-1.2
Other,Onecomment (onecomment),7.x-1.0-beta2+5-dev
Other,Pathauto (pathauto),7.x-1.3
Other,String Overrides (stringoverrides),7.x-1.8
Other,Strongarm (strongarm),7.x-2.0
Other,Tab Tamer (tabtamer),7.x-1.1
Other,Taxonomy menu (taxonomy_menu),7.x-1.6
Other,Text Resize (text_resize),7.x-1.9
Other,Token (token),7.x-1.8
Panels,Mini panels (panels_mini),7.x-3.10
Panels,Panel nodes (deprecated) (panels_node),7.x-3.10
Panels,Panels (panels),7.x-3.10
Panels,Panels In-Place Editor (panels_ipe),7.x-3.10
Pantheon,Pantheon Platform API (pantheon_api),7.x-1.0
Rules,Rules (rules),7.x-2.13
Search,Custom Search (custom_search),7.x-1.20
Search,Custom Search Blocks (custom_search_blocks),7.x-1.20
Search,Custom Search Taxonomy (custom_search_taxonomy),7.x-1.20
Search,Database search (search_api_db),7.x-1.8
Search,Search API (search_api),7.x-1.28
Search,Search Facets (search_api_facetapi),7.x-1.28
Search,Search pages (search_api_page),7.x-1.6
Search,Search Views (search_api_views),7.x-1.28
Search Toolkit,Current Search Blocks (current_search),7.x-1.9
Search Toolkit,Facet API (facetapi),7.x-1.9
Search Toolkit,Facet API Bonus (facetapi_bonus),7.x-1.3
Sharing,ShareThis (sharethis),7.x-2.13
Spam control,BOTCHA (botcha),7.x-3.3
Statistics,Google Analytics (googleanalytics),7.x-2.6
Taxonomy,Taxonomy Manager (taxonomy_manager),7.x-1.1
Theme Tools,Omega Tools (omega_tools),7.x-3.0-rc4
User interface,Add Another (addanother),7.x-2.3
User interface,jQuery Update (jquery_update),7.x-2.7
User interface,Wysiwyg (wysiwyg),7.x-2.7
Variable,Variable (variable),7.x-2.5
Variable,Variable realm (variable_realm),7.x-2.5
Variable,Variable store (variable_store),7.x-2.5
Variable,Variable views (variable_views),7.x-2.5
Views,Admin Views System Display (admin_views_system_display),7.x-1.8
Views,Better Exposed Filters (better_exposed_filters),7.x-3.6
Views,Menu Views (menu_views),7.x-2.5
Views,Views (views),7.x-3.25
Views,Views Bulk Operations (views_bulk_operations),7.x-3.6
Views,Views Field View (views_field_view),7.x-1.2
Views,Views UI (views_ui),7.x-3.25
Voting,Fivestar (fivestar),7.x-2.3
Voting,Voting API (votingapi),7.x-2.15
